HourUTC,wind_speed [m/s],temperature [C],pressure [hPa],wind_direction [degress]
2021-01-01 00:00:00,3.2,2.2,1003.8,160.0
2021-01-01 01:00:00,3.1,2.4,1003.8,154.0
2021-01-01 02:00:00,3.5,2.6,1003.9,155.0
2021-01-01 03:00:00,3.5,2.0,1003.9,160.0
2021-01-01 04:00:00,3.7,1.8,1003.9,157.0
2021-01-01 05:00:00,3.8,2.0,1004.0,150.0
2021-01-01 06:00:00,3.9,2.2,1004.2,147.0
2021-01-01 07:00:00,3.5,2.1,1004.5,139.0
2021-01-01 08:00:00,3.9,2.4,1004.8,149.0
2021-01-01 09:00:00,3.8,2.4,1005.2,154.0
2021-01-01 10:00:00,3.2,2.2,1005.3,157.0
2021-01-01 11:00:00,2.9,2.4,1005.1,159.0
2021-01-01 12:00:00,2.2,2.5,1005.1,165.0
2021-01-01 13:00:00,1.8,2.5,1005.2,158.0
2021-01-01 14:00:00,1.7,2.4,1005.4,148.0
2021-01-01 15:00:00,0.9,2.4,1005.8,165.0
2021-01-01 16:00:00,0.5,2.4,1006.0,245.0
2021-01-01 17:00:00,0.6,2.3,1006.3,255.0
2021-01-01 18:00:00,0.6,2.2,1006.6,304.0
2021-01-01 19:00:00,0.4,2.2,1007.0,5.0
2021-01-01 20:00:00,0.8,2.2,1007.6,236.0
2021-01-01 21:00:00,0.8,2.1,1007.9,273.0
2021-01-01 22:00:00,1.6,2.1,1008.2,306.0
2021-01-01 23:00:00,1.8,1.9,1008.6,295.0
2021-01-02 00:00:00,1.4,1.9,1009.1,309.0
2021-01-02 01:00:00,1.1,1.9,1009.5,307.0
2021-01-02 02:00:00,1.1,1.8,1009.8,293.0
2021-01-02 03:00:00,0.9,1.7,1010.2,307.0
2021-01-02 04:00:00,1.3,1.3,1010.5,357.0
2021-01-02 05:00:00,1.4,1.2,1011.0,11.0
2021-01-02 06:00:00,1.9,0.9,1011.6,21.0
2021-01-02 07:00:00,1.0,0.3,1012.5,11.0
2021-01-02 08:00:00,0.8,-0.1,1013.3,1.0
2021-01-02 09:00:00,1.5,-0.2,1014.1,13.0
2021-01-02 10:00:00,1.0,-0.3,1014.6,55.0
2021-01-02 11:00:00,0.8,-0.1,1014.8,87.0
2021-01-02 12:00:00,0.6,0.1,1015.1,69.0
2021-01-02 13:00:00,1.0,0.2,1015.5,21.0
2021-01-02 14:00:00,1.0,0.1,1016.0,0.0
2021-01-02 15:00:00,0.6,-0.1,1016.7,355.0
2021-01-02 16:00:00,1.0,-0.1,1017.2,293.0
2021-01-02 17:00:00,0.7,-0.1,1017.6,326.0
2021-01-02 18:00:00,1.1,-0.5,1018.1,338.0
