,Spot,Up,Down
1,48.189999,24.07,18.5
2,44.68,24.95,18.5
3,42.919998,24.35,24.35
4,40.389999,23.98,23.98
5,40.200001,23.72,23.72
6,39.630001,23.73,23.73
7,40.09,24.06,24.06
8,41.27,24.44,24.44
9,44.880001,24.93,24.93
10,45.0,24.9,24.9
11,47.200001,25.07,21.0
12,50.779999,25.63,21.0
13,45.490002,25.92,23.0
14,44.73,26.13,24.2
15,46.59,26.57,24.2
16,52.990002,27.3,24.2
17,60.259998,28.61,28.61
18,60.610001,30.25,30.25
19,60.360001,30.19,25.6
20,57.400002,28.82,25.6
21,53.860001,28.25,25.0
22,53.450001,27.32,24.0
23,49.720001,28.25,22.87
24,46.689999,27.01,22.87
25,42.43,25.64,22.64
26,41.09,25.59,21.97
27,40.0,24.91,21.0
28,37.549999,24.74,20.06
29,39.0,24.66,20.06
30,42.09,24.72,21.0
31,44.959999,24.92,21.0
32,48.450001,25.62,20.0
33,52.0,26.19,20.53
34,52.0,28.02,22.0
35,52.150002,27.65,22.0
36,55.950001,28.83,22.0
37,52.0,29.76,22.92
38,50.689999,28.62,23.0
39,53.450001,28.72,23.0
40,59.990002,36.73,24.0
41,62.0,46.05,25.0
42,63.080002,58.88,58.88
43,62.169998,60.51,60.51
44,60.029999,59.84,59.84
45,55.029999,40.15,40.15
46,52.25,29.5,27.38
47,48.450001,31.15,31.15
48,46.110001,27.91,27.91
49,41.59,25.94,25.94
50,37.209999,27.14,25.27
51,35.18,27.0,24.59
52,24.65,27.0,23.86
53,23.85,23.57,23.57
54,24.049999,23.49,23.49
55,24.799999,23.85,23.85
56,24.969999,24.05,24.05
57,25.65,24.8,23.0
58,26.0,24.97,22.0
59,26.889999,25.65,22.0
60,25.870001,26.0,22.0
61,25.83,26.07,22.0
62,26.02,25.87,20.48
63,26.5,25.83,20.06
64,33.27,26.02,20.06
65,43.959999,26.5,20.53
66,43.349998,28.05,23.0
67,27.92,28.53,28.53
68,27.559999,28.17,28.17
69,27.040001,27.92,27.92
70,26.18,27.56,24.5
71,24.92,28.12,24.0
72,24.66,26.18,24.0
73,24.049999,24.92,24.92
74,23.879999,24.66,20.0
75,24.030001,24.05,20.0
76,24.58,23.88,19.1
77,25.84,24.03,19.1
78,28.209999,24.58,20.06
79,49.759998,25.84,23.0
80,54.419998,28.21,24.0
81,55.689999,49.76,26.0
82,55.799999,94.08,54.42
83,58.27,70.0,50.72
84,57.52,67.2,55.4
85,56.529999,57.3,56.53
86,57.990002,52.07,52.07
87,58.029999,60.0,56.53
88,60.5,60.09,57.99
89,65.220001,60.48,58.03
90,60.049999,61.0,60.5
91,53.73,66.0,65.22
92,37.68,66.0,60.05
93,38.490002,63.17,53.73
94,30.950001,50.0,37.68
95,27.35,42.98,38.49
96,27.809999,35.0,30.95
97,27.450001,29.88,27.35
98,27.08,27.81,27.81
99,27.139999,27.45,27.45
100,27.790001,27.08,27.08
101,29.809999,28.0,27.14
102,35.779999,28.0,27.79
103,53.639999,31.5,29.81
104,60.0,37.0,35.78
105,60.119999,54.14,53.64
106,61.18,66.86,60.0
107,62.459999,66.86,60.12
108,61.48,70.0,61.18
109,62.290001,80.67,62.46
110,62.040001,80.67,61.48
111,62.509998,87.0,62.29
112,64.260002,87.0,62.04
113,65.599998,75.6,62.51
114,60.130001,75.0,64.26
115,54.66,75.0,65.6
116,40.779999,87.0,60.13
117,39.599998,87.0,54.66
118,32.060001,87.0,40.78
119,29.209999,87.0,39.6
120,29.83,64.47,32.06
121,28.719999,39.0,29.21
122,28.110001,35.0,29.83
123,27.98,35.0,28.72
124,28.16,35.0,28.11
125,29.0,34.0,27.98
126,30.719999,37.0,28.16
127,35.540001,37.0,29.0
128,39.18,40.0,30.72
129,41.880001,40.0,35.54
130,46.07,70.0,39.18
131,45.27,70.0,41.88
132,46.209999,66.07,46.07
133,47.349998,73.0,45.27
134,51.310001,76.68,46.21
135,54.900002,76.7,47.35
136,58.400002,76.89,51.31
137,59.93,76.87,54.9
138,55.669998,80.0,58.4
139,50.25,121.92,59.93
140,39.84,106.0,55.67
141,39.93,84.0,50.25
142,38.700001,84.0,39.84
143,32.5,84.0,39.93
144,43.080002,65.0,38.7
145,40.900002,65.0,32.5
146,39.189999,85.95,43.08
147,39.779999,59.0,40.9
148,41.279999,43.1,39.19
149,45.540001,39.78,39.78
150,55.970001,41.28,36.5
151,67.800003,45.54,41.0
152,86.510002,55.97,55.97
153,83.860001,67.8,67.8
154,82.440002,85.0,84.43
155,85.989998,85.0,83.86
156,84.709999,85.0,82.44
157,82.290001,86.43,85.99
158,78.620003,85.0,84.71
159,81.57,85.0,82.29
160,89.68,85.0,78.62
161,100.0,81.57,81.57
162,90.43,89.68,89.68
163,80.279999,99.91,48.0
164,66.800003,84.62,48.0
165,59.330002,77.79,48.0
166,58.259998,65.2,48.0
167,52.25,59.33,47.33
168,49.310001,58.26,58.26
169,47.380001,50.99,50.99
170,45.779999,49.31,40.0
171,44.509998,47.38,36.85
172,45.689999,45.78,35.0
173,50.330002,44.51,35.0
174,59.709999,45.69,36.0
175,79.559998,50.33,45.0
176,103.540001,59.71,54.0
177,107.800003,79.56,54.0
178,107.32,103.54,53.54
179,104.260002,107.8,50.0
180,99.910004,107.32,48.0
181,95.269997,104.39,52.02
182,92.720001,100.04,99.91
183,95.419998,95.37,48.0
184,95.0,92.72,48.0
185,110.0,95.42,43.35
186,99.949997,95.0,43.35
187,80.120003,110.0,44.0
188,64.239998,99.95,40.46
189,59.43,80.12,40.46
190,56.220001,61.48,40.64
191,51.75,59.43,44.0
192,50.669998,56.22,35.0
193,48.599998,50.48,35.0
194,48.02,47.58,47.58
195,49.25,47.04,47.04
196,49.630001,46.48,46.48
197,47.77,47.67,47.67
198,49.57,48.04,48.04
199,53.82,47.77,47.77
200,59.799999,48.26,45.0
201,66.919998,52.16,52.16
202,67.709999,58.11,48.0
203,68.0,64.68,46.0
204,67.010002,65.61,46.0
205,62.529999,79.0,49.0
206,60.0,90.0,64.97
207,60.0,79.0,60.55
208,62.779999,62.84,58.14
209,69.919998,72.0,60.0
210,71.989998,115.0,62.78
211,68.949997,134.42,69.92
212,62.66,200.0,69.69
213,55.189999,200.0,65.77
214,54.130001,85.0,49.93
215,44.93,60.0,47.95
216,38.84,50.0,43.47
217,35.970001,50.0,36.64
218,34.349998,50.0,38.84
219,33.869999,40.0,35.97
220,33.84,40.0,34.35
221,34.209999,39.5,33.87
222,34.029999,35.29,33.84
223,37.610001,35.66,34.21
224,39.09,35.48,34.03
225,40.759998,37.61,37.61
226,44.16,39.09,39.09
227,46.240002,40.76,40.76
228,44.759998,44.16,44.16
229,44.34,46.69,45.34
230,45.450001,44.76,44.76
231,48.029999,44.34,44.34
232,55.869999,45.45,45.45
233,62.09,46.67,46.67
234,63.41,50.72,50.72
235,55.240002,54.95,54.95
236,48.049999,53.34,53.34
237,44.490002,49.39,49.39
238,40.07,46.43,46.43
239,35.880001,44.49,44.49
240,44.900002,41.8,40.07
241,39.59,38.0,35.88
242,37.779999,40.6,40.6
243,35.43,39.59,39.59
244,37.290001,37.78,37.78
245,41.41,35.43,35.43
246,42.779999,37.29,37.29
247,60.240002,41.41,33.54
248,60.419998,46.28,42.78
249,49.619999,52.58,52.58
250,47.57,67.23,57.25
251,44.639999,58.0,50.45
252,43.330002,50.41,50.41
253,42.610001,50.21,50.21
254,42.049999,50.0,46.09
255,42.310001,50.0,45.06
256,43.279999,48.76,48.76
257,44.98,50.25,50.25
258,42.93,43.28,43.28
259,39.709999,44.98,44.98
260,37.110001,42.93,42.93
261,34.240002,39.71,39.71
262,33.209999,37.11,37.11
263,27.389999,34.24,34.24
264,19.43,33.21,33.21
265,15.82,27.39,27.39
266,19.0,19.43,19.43
267,24.139999,15.82,15.82
268,27.0,19.0,19.0
269,35.939999,24.14,24.14
270,40.959999,27.0,27.0
271,54.509998,35.03,35.03
272,60.639999,40.14,40.14
273,54.959999,54.51,54.51
274,56.5,67.0,60.64
275,57.880001,68.05,54.96
276,59.639999,65.0,56.5
277,54.939999,67.23,55.34
278,50.310001,53.0,50.1
279,54.23,48.05,48.05
280,61.5,48.04,48.04
281,64.120003,52.01,52.01
282,60.400002,61.06,61.06
283,53.580002,64.12,64.12
284,50.299999,60.4,60.4
285,40.709999,50.45,50.45
286,37.75,41.79,41.79
287,34.619999,40.71,40.71
288,33.029999,37.75,37.75
289,32.43,34.62,34.62
290,31.58,33.03,30.0
291,30.84,32.43,29.42
292,31.68,31.58,29.42
293,36.810001,30.84,28.78
294,41.869999,31.68,29.0
295,46.209999,36.81,34.0
296,56.139999,41.87,41.87
297,47.709999,50.28,50.28
298,46.23,56.14,56.14
299,43.82,52.05,52.05
300,41.220001,62.78,62.78
301,40.040001,64.12,64.12
302,39.470001,62.0,62.0
303,41.169998,64.1,37.0
304,45.91,62.86,36.2
305,55.490002,64.76,36.2
306,54.509998,68.47,68.47
307,48.099998,67.65,67.65
308,47.139999,69.39,69.39
309,40.880001,57.92,57.92
310,40.02,50.25,37.8
311,38.029999,50.47,41.0
312,37.299999,46.35,35.0
313,36.91,38.03,33.0
314,36.98,44.16,31.0
315,39.439999,44.17,26.0
316,42.16,36.98,26.0
317,45.34,39.44,30.0
318,58.599998,45.87,32.0
319,81.339996,80.04,34.0
320,91.0,82.36,82.36
321,89.269997,121.63,39.0
322,89.629997,91.0,91.0
323,91.050003,89.27,40.0
324,88.910004,89.63,40.0
325,89.239998,91.05,48.01
326,86.040001,89.14,88.91
327,91.209999,92.0,89.24
328,99.940002,86.04,86.04
329,103.139999,99.07,99.07
330,92.379997,99.94,99.94
331,87.699997,103.14,81.14
332,74.580002,92.38,92.38
333,62.740002,87.7,38.0
334,59.82,74.58,38.0
335,55.599998,62.74,39.0
336,48.98,101.0,62.01
